miRNAs,logFC,AveExpr,t,P.Value,adj.P.Val,B
hsa-miR-377-5p,3.02487309823976,10.0503416851673,4.64714093641479,0.000201005092243796,0.00239023769691052,0.442090571544507
hsa-miR-4522,2.85655479712624,6.96483221230855,6.74078114718964,2.58026519432817e-06,9.64927362307218e-05,4.8030065267051
hsa-miR-4268,2.81037741072795,9.61156093292897,4.8084369142706,0.000141253349769628,0.001860431777662,0.793609764937526
hsa-miR-485-3p,2.75252620619764,7.94468834571498,3.96255891541493,0.000914810439091967,0.00853686333520352,-1.05990287115143
hsa-miR-4305,2.56891967406962,7.81166474758799,9.71354310254011,1.41073961532075e-08,2.09696367105891e-06,9.99931609491836
hsa-miR-647,2.36873880062941,8.71055013763158,8.52852411581131,9.83444828906957e-08,7.30910246055492e-06,8.07158027087717
hsa-miR-3183,2.31727473406696,8.21043222307745,4.93990036039013,0.000106132623387932,0.001533763814377,1.07883945396705
hsa-miR-4756-3p,2.31239611963768,9.85706620748321,5.42920074314665,3.71859825378964e-05,0.000684814421781969,2.12754693186309
hsa-miR-491-5p,2.28620876100651,7.4335399798876,5.16529471464376,6.52637188067569e-05,0.00107309187690271,1.56467705242957
hsa-miR-376a-5p,2.26636805349624,7.9750239465901,5.83442879879502,1.59272329403303e-05,0.000368273019431414,2.97720281308392
hsa-miR-1253,2.24712476887144,8.19702781521978,6.09609674011238,9.31307757950703e-06,0.000239265610406841,3.51538186608473
hsa-miR-4739,2.19784142727694,10.6966965190241,6.34575832678704,5.62804715328848e-06,0.000167313801799905,4.02065544298753
hsa-miR-4756-5p,2.12368132967041,6.59888582049251,5.89143201395396,1.41594761954379e-05,0.000338688160490877,3.09517146078675
hsa-miR-4505,2.03743218884166,7.86761856930008,5.61953085123813,2.4908348308242e-05,0.000500545781998251,2.52896074352828
hsa-miR-4481,1.99185046464587,7.76396217811233,3.94690631161717,0.000947255256211364,0.0088001704829279,-1.09425246209474
hsa-miR-1183,1.96325300541615,7.50150941408551,4.77987529509133,0.000150334906348722,0.00190760329336397,0.731481447083893
hsa-miR-5006-3p,1.93447554243906,9.42200648528022,8.9601653579062,4.75447314195882e-08,4.35948870634035e-06,8.79487943580209
hsa-miR-1273f,1.89532294975911,7.90070366392135,5.02897269418767,8.75249130260247e-05,0.00137984351520574,1.27134757107495
hsa-miR-1273a,1.88592966538767,10.0272893821248,6.30527846771081,6.10350821476897e-06,0.000178892966125834,3.93929002108051
hsa-miR-4768-5p,1.88011836319975,7.39666357093843,6.68945336656833,2.85203882655379e-06,9.72966032468594e-05,4.70256006484445
hsa-miR-2681-5p,1.82696114066881,9.17103207728476,6.58235351795758,3.51886323667183e-06,0.000116234196754192,4.49179921828173
hsa-miR-4669,1.82568794798375,8.76286822578375,4.32021941079441,0.000413281211807351,0.00438061856247348,-0.274186428686533
kshv-miR-K12-6-3p,1.81695381810369,9.15407359036357,4.56715925582468,0.00023961106901097,0.00278564600341804,0.267246647547833
hsa-miR-376b-5p/hsa-miR-376c-5p,1.80600426971805,6.52482227578972,6.0634769752718,9.95257538713787e-06,0.000252576943666267,3.44876436738987
hsa-miR-2114-5p,1.80193552382079,7.31697611943738,7.76198383358161,3.78957864928155e-07,2.25317519118712e-05,6.7247620062011
hsa-miR-660-3p,1.79488003387745,11.7270468218781,4.06504804004445,0.000728233782948543,0.00708833481489184,-0.83484346269206
