miRNAs,logFC,AveExpr,t,P.Value,adj.P.Val,B
hsa-miR-31-5p,4.25188185148891,8.25380693012393,5.35027805180648,4.39625743239599e-05,0.00404696797521929,2.22977148313997
hsa-miR-505-3p,2.35751668596841,7.46501497589493,5.4606882168972,3.47904223930516e-05,0.00361994344999702,2.45446626434477
hsa-miR-92a-3p,2.00904906525546,9.92839869964107,5.20684224925085,5.97024571532468e-05,0.00488548320605915,1.93575343506646
hsa-miR-375,1.79919730992039,9.12134164211341,5.25363490914234,5.40164257543463e-05,0.00468367424978311,2.03192455806553
hsa-miR-584-5p,1.7119749683859,11.2653322784232,4.75855888731073,0.000157498371968144,0.00840395159142842,1.00324822173405
hsa-miR-133a-5p,1.7001144926683,5.61311413751759,4.89601627555808,0.000116738851184316,0.00714510439160472,1.29116271416859
hsa-miR-3074-3p,1.6365342620729,6.21718184107474,4.80425102047518,0.000142548555470261,0.00824009844260038,1.09912739686571
hsa-miR-4508,1.57094806605459,7.8103842908268,5.90121279281536,1.38770930247933e-05,0.00186981944746967,3.3356516054096
hsa-miR-3656,1.1902753914192,6.21367676443262,6.96065325561375,1.68701823905934e-06,0.000501526422211784,5.34247795546363
hsa-miR-638,1.1122056667649,9.19280880719887,5.53810658148754,2.95508067575273e-05,0.00323659099275865,2.61113730312181
hsa-miR-4500,1.03060064415877,13.7593317043372,4.75900129572148,0.000157346223766297,0.00840395159142842,1.00417735246335
hsa-miR-3670,-1.17086142176807,6.67146230015878,-5.90556899503833,1.37531974908209e-05,0.00186981944746967,3.34423638981208
hsa-miR-130b-5p,-1.19253159545835,7.62613696689421,-6.00146029592,1.12962984728072e-05,0.00186981944746967,3.53254329403594
hsa-miR-4446-3p,-1.2825929415079,5.23733347366412,-4.9973061896852,9.37251268838814e-05,0.00647740212698917,1.50226059670171
hsa-miR-5193,-1.31413483724058,9.78768271611801,-5.8195249433193,1.64258709867219e-05,0.00201071985431578,3.17418766901113
hsa-miR-3667-5p,-1.34556547579586,8.56306255545497,-5.19604889614853,6.1098822932592e-05,0.00488548320605915,1.91353617881147
hsa-miR-2114-5p,-1.37751728760255,7.31697611943738,-5.93376776000202,1.29782765871189e-05,0.00186981944746967,3.39974443723173
hsa-miR-3158-3p,-1.40059484061713,5.39550057309937,-4.71288662705732,0.000174038996792096,0.00905437880810881,0.907248225775809
hsa-miR-3184-3p,-1.44498746248721,10.0275576460369,-5.94164185933687,1.27700298135214e-05,0.00186981944746967,3.41522460215522
hsa-miR-376b-5p/hsa-miR-376c-5p,-1.48444076150928,6.52482227578972,-4.98385996616256,9.64918144818185e-05,0.00647740212698917,1.47429247959636
hsa-miR-4539,-1.49914331783428,7.2701307704235,-4.80463499000567,0.000142429244901033,0.00824009844260038,1.09993239707393
hsa-miR-4681,-1.49951175926577,5.76151196739141,-5.88405688588189,1.43763148291758e-05,0.00186981944746967,3.30181700409718
hsa-miR-4297,-1.50755673837105,10.2125289837391,-4.78268397901357,0.000149416086546147,0.00840364530006841,1.05389244887397
hsa-let-7e-3p,-1.55884494187436,5.10402070348626,-5.17889751978229,6.33868556288308e-05,0.00488548320605915,1.87820548201292
mcv-miR-M1-3p,-1.66332471518992,7.71162939979748,-6.16859068576943,8.0391654896241e-06,0.00167363532261642,3.85764957958373
hsa-miR-892a,-1.72993579713385,10.2197220541415,-6.76025054463868,2.48432331509158e-06,0.000646234602338197,4.97571433272471
hsa-miR-4768-5p,-1.73366937229803,7.39666357093843,-6.16838846214883,8.04245710051139e-06,0.00167363532261642,3.85725862107479
hsa-miR-4423-5p,-1.77317886367356,10.4192879617561,-7.24353043785973,9.86022184934187e-07,0.000501526422211784,5.84973276542798
hsa-miR-4305,-1.84352405996096,7.81166474758799,-6.97069301066641,1.65485988801267e-06,0.000501526422211784,5.3606908956839
hsa-miR-5006-3p,-1.92031718726049,9.42200648528022,-8.89458623797792,5.30172716905502e-08,0.000110328942388035,8.56865505735085
hsa-miR-559,-1.94980357932286,10.5028087142857,-5.3421528591226,4.4728622503625e-05,0.00404696797521929,2.21317898764694
hsa-miR-610,-1.96120522801398,5.96414911163114,-5.07453054612341,7.93311738734794e-05,0.00589600617252538,1.66254610959887
hsa-miR-30a-5p,-2.02248987522035,10.9702333221945,-4.93688199838235,0.000106829597531546,0.00676855448893886,1.37644461347208
hsa-miR-647,-2.02466808676438,8.71055013763158,-7.28971493180058,9.04179506233384e-07,0.000501526422211784,5.93138620993791
hsa-miR-576-5p,-2.20183969644396,9.58940888325811,-8.22607962321323,1.65943978840285e-07,0.000172664709983316,7.5167612073889
hsa-miR-491-5p,-2.3764744268023,7.4335399798876,-5.36923443108659,4.22272019882429e-05,0.00404696797521929,2.26845240081482
hsa-miR-3920,-2.37755105381842,8.80719885739854,-5.03541342299389,8.63159869065084e-05,0.00619391616387738,1.58142874737485
hsa-miR-4756-3p,-2.43339620369155,9.85706620748321,-5.71329296276559,2.04788840386902e-05,0.00236758653802857,2.96286197196955
hsa-miR-376a-5p,-2.72474635025031,7.9750239465901,-7.01445581655982,1.52193524953993e-06,0.000501526422211784,5.43990021216308
